asset_id,duration,event_observed,asset_age,avg_temperature,vibration_score,load_factor,maintenance_quality
asset_0000,81.41,1,34.25,67.99,1.888,0.741,medium
asset_0001,12.89,1,42.4,80.82,3.626,0.394,high
asset_0002,53.06,1,31.34,74.53,0.654,0.669,medium
asset_0003,39.97,1,29.08,65.72,2.354,0.709,medium
asset_0004,15.52,1,44.97,64.21,1.261,0.798,low
asset_0005,53.09,1,30.36,57.17,1.755,0.46,medium
asset_0006,25.04,1,37.09,74.62,0.582,0.85,medium
asset_0007,64.11,1,35.35,68.81,2.365,0.944,medium
asset_0008,51.91,1,44.95,50.65,1.74,0.891,low
asset_0009,45.63,0,26.59,67.18,1.2,0.29,low
asset_0010,68.32,0,52.33,63.89,1.633,0.933,low
asset_0011,29.29,1,23.25,86.18,0.865,0.594,medium
asset_0012,59.35,1,38.27,56.67,0.941,0.716,medium
asset_0013,103.59,0,36.12,59.03,0.991,0.885,medium
asset_0014,21.2,1,22.17,81.99,0.531,0.668,medium
asset_0015,57.25,1,39.82,84.21,1.8,0.427,low
asset_0016,32.3,1,27.62,65.3,2.088,0.801,medium
asset_0017,34.25,1,18.43,66.31,0.891,0.952,low
asset_0018,34.37,1,42.26,77.55,1.429,0.78,high
asset_0019,48.21,1,14.8,51.06,1.084,0.742,low
asset_0020,63.95,1,20.27,55.25,1.416,0.786,medium
asset_0021,57.21,1,31.16,69.47,0.921,0.742,low
asset_0022,39.46,1,44.81,85.95,0.821,0.633,high
asset_0023,58.11,1,41.01,68.08,1.961,0.772,low
asset_0024,39.56,1,33.99,72.91,1.187,0.745,high
asset_0025,24.2,1,12.19,82.2,3.034,0.462,low
asset_0026,11.07,1,22.7,90.96,1.247,0.789,high
asset_0027,91.4,0,25.32,66.81,0.805,0.81,medium
asset_0028,55.89,1,17.97,71.85,2.122,0.595,medium
asset_0029,60.46,1,10.37,88.4,1.622,0.472,low
asset_0030,26.61,1,31.9,58.3,1.694,0.674,medium
asset_0031,15.59,1,41.63,81.25,2.087,0.374,high
asset_0032,104.81,0,24.31,62.84,0.911,0.762,high
asset_0033,26.11,1,44.54,72.92,1.153,0.886,low
asset_0034,54.52,0,13.81,69.82,1.131,0.657,medium
asset_0035,90.75,0,17.38,63.38,0.683,0.804,medium
asset_0036,25.47,1,31.57,63.15,1.085,0.509,low
asset_0037,16.79,1,23.26,74.49,2.229,0.562,medium
asset_0038,66.67,1,40.0,80.96,1.359,0.557,medium
asset_0039,60.14,0,36.9,70.83,0.666,0.652,medium
asset_0040,71.32,0,24.12,72.63,0.606,0.626,high
asset_0041,65.52,1,14.56,77.14,2.584,0.74,high
asset_0042,77.66,0,22.71,63.26,1.173,0.734,high
asset_0043,69.33,1,37.33,78.66,0.913,0.861,low
asset_0044,57.87,1,40.75,79.37,1.08,0.582,high
asset_0045,60.45,1,23.31,95.43,0.628,0.954,medium
asset_0046,52.23,0,10.33,68.62,2.317,0.497,medium
asset_0047,20.21,1,13.38,67.88,1.023,0.912,low
asset_0048,53.01,0,35.89,78.92,2.26,0.609,high
asset_0049,20.38,1,23.91,79.37,1.25,0.696,medium
asset_0050,91.28,1,24.21,67.18,2.324,0.818,high
asset_0051,20.85,1,17.23,68.37,1.371,0.943,medium
asset_0052,38.31,1,17.05,76.87,1.793,0.519,high
asset_0053,91.11,1,44.18,64.55,1.688,0.573,medium
asset_0054,40.84,1,36.5,68.31,1.617,0.778,high
asset_0055,53.85,1,21.14,72.81,1.428,0.661,medium
asset_0056,44.23,1,30.45,80.96,1.1,0.654,low
asset_0057,98.76,0,33.04,66.56,2.892,0.359,medium
asset_0058,24.54,1,61.35,55.42,0.812,0.92,medium
asset_0059,45.43,1,16.28,54.75,1.224,0.843,medium
asset_0060,63.84,1,32.83,60.67,1.23,0.925,medium
asset_0061,27.01,1,44.08,60.18,1.464,0.925,medium
asset_0062,43.02,1,57.94,70.61,1.007,0.673,high
asset_0063,19.12,1,20.58,61.3,1.407,0.814,medium
asset_0064,40.03,1,23.76,65.68,1.132,0.699,high
asset_0065,69.29,1,40.18,65.03,0.599,0.798,low
asset_0066,70.11,0,12.08,68.04,1.227,0.963,medium
asset_0067,46.47,1,34.4,83.9,0.744,0.749,high
asset_0068,32.8,1,71.78,77.96,0.56,0.726,medium
asset_0069,10.51,1,36.15,72.15,1.299,0.651,medium
asset_0070,138.41,1,7.29,67.85,1.521,0.613,medium
asset_0071,89.73,1,18.56,68.1,1.548,0.901,medium
asset_0072,47.27,0,20.92,74.95,1.577,0.513,medium
asset_0073,71.43,1,48.88,77.26,0.512,0.491,low
asset_0074,37.94,1,26.97,63.83,0.662,0.911,high
asset_0075,73.03,1,10.43,72.33,2.969,0.47,low
asset_0076,129.26,1,28.52,53.72,0.762,0.605,medium
asset_0077,106.87,1,31.37,73.91,1.608,0.742,medium
asset_0078,49.24,1,22.33,78.86,0.897,0.493,low
asset_0079,17.65,1,16.89,69.48,1.266,0.879,low
asset_0080,29.76,1,75.51,88.35,0.919,0.798,high
asset_0081,70.15,1,44.14,64.07,1.573,0.607,medium
asset_0082,28.41,1,46.04,73.96,1.299,0.879,low
asset_0083,66.76,0,27.0,71.68,0.998,0.815,high
