bin,n,predicted_survival,observed_survival,absolute_gap,model
0,25,0.24941055093392359,0.24,0.009410550933923595,Cox PH
1,25,0.3563309539798154,0.4,0.04366904602018462,Cox PH
2,25,0.4328220630605383,0.48,0.047177936939461707,Cox PH
3,25,0.547965147631529,0.4,0.14796514763152901,Cox PH
0,25,0.17993743459395792,0.28,0.10006256540604211,Random Survival Forest
1,25,0.3068165676775925,0.4,0.0931834323224075,Random Survival Forest
2,25,0.4390946171341558,0.36,0.07909461713415583,Random Survival Forest
3,25,0.5770089796924782,0.48,0.09700897969247824,Random Survival Forest
0,27,0.1304281379114293,0.3333333333333333,0.20290519542190402,Gradient Boosting Survival
1,23,0.2652026791995685,0.391304347826087,0.12610166862651845,Gradient Boosting Survival
2,25,0.3985242659488474,0.4,0.001475734051152644,Gradient Boosting Survival
3,25,0.5644984036058507,0.4,0.16449840360585066,Gradient Boosting Survival
